,Type of Model,Accuracy,Precision,Recall
13,Deep Learning,0.89,0.77,0.61
2,SMOTE with a depth of 2,0.65,0.19,0.59
3,Random Oversampling,0.75,0.26,0.57
1,SMOTE with a depth of 4,0.8,0.31,0.51
6,SMOTEENN,0.79,0.28,0.49
4,ADASYN,0.8,0.3,0.47
5,BorderlineSMOTE,0.81,0.3,0.47
8,Specifying Columns SMOTE,0.72,0.21,0.46
12,Naive Bayes 2,0.83,0.36,0.46
11,Naive Bayes,0.82,0.3,0.4
9,Random Forest,0.89,0.64,0.23
10,Random Forest 2,0.89,0.64,0.23
0,Initial Decision Tree,0.89,0.68,0.17
7,Specifying Columns,0.89,0.7,0.16
