,Date,from_station_name,Mean_Temperature_F,Events,number_of_trips
0,01/01/2015,12th Ave & E Denny Way,35.0,BLANK,10
1,01/01/2015,12th Ave & E Mercer St,35.0,BLANK,6
2,01/01/2015,15th Ave E & E Thomas St,35.0,BLANK,4
3,01/01/2015,1st Ave & Marion St,35.0,BLANK,8
4,01/01/2015,2nd Ave & Blanchard St,35.0,BLANK,14
5,01/01/2015,2nd Ave & Pine St,35.0,BLANK,10
6,01/01/2015,2nd Ave & Spring St,35.0,BLANK,2
7,01/01/2015,2nd Ave & Vine St,35.0,BLANK,2
8,01/01/2015,3rd Ave & Broad St,35.0,BLANK,28
9,01/01/2015,6th Ave S & S King St,35.0,BLANK,4
10,01/01/2015,7th Ave & Union St,35.0,BLANK,4
11,01/01/2015,9th Ave N & Mercer St,35.0,BLANK,14
12,01/01/2015,Bellevue Ave & E Pine St,35.0,BLANK,4
13,01/01/2015,Burke Museum / E Stevens Way NE & Memorial Way NE,35.0,BLANK,12
14,01/01/2015,Cal Anderson Park / 11th Ave & Pine St,35.0,BLANK,8
15,01/01/2015,City Hall / 4th Ave & James St,35.0,BLANK,2
16,01/01/2015,Dexter Ave N & Aloha St,35.0,BLANK,4
17,01/01/2015,E Blaine St & Fairview Ave E,35.0,BLANK,14
18,01/01/2015,E Harrison St & Broadway Ave E,35.0,BLANK,16
19,01/01/2015,E Pine St & 16th Ave,35.0,BLANK,28
20,01/01/2015,Eastlake Ave E & E Allison St,35.0,BLANK,2
21,01/01/2015,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,35.0,BLANK,4
22,01/01/2015,Harvard Ave & E Pine St,35.0,BLANK,8
23,01/01/2015,Key Arena / 1st Ave N & Harrison St,35.0,BLANK,2
24,01/01/2015,Lake Union Park / Valley St & Boren Ave N,35.0,BLANK,12
25,01/01/2015,NE 42nd St & University Way NE,35.0,BLANK,6
26,01/01/2015,Occidental Park / Occidental Ave S & S Washington St,35.0,BLANK,2
27,01/01/2015,PATH / 9th Ave & Westlake Ave,35.0,BLANK,28
28,01/01/2015,Pier 69 / Alaskan Way & Clay St,35.0,BLANK,22
29,01/01/2015,REI / Yale Ave N & John St,35.0,BLANK,4
30,01/01/2015,Republican St & Westlake Ave N,35.0,BLANK,2
31,01/01/2015,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,35.0,BLANK,8
32,01/01/2015,Seattle University / E Columbia St & 12th Ave,35.0,BLANK,2
33,01/01/2015,Summit Ave & E Denny Way,35.0,BLANK,8
34,01/01/2015,Summit Ave E & E Republican St,35.0,BLANK,4
35,01/01/2015,UW Intramural Activities Building,35.0,BLANK,4
36,01/01/2015,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,35.0,BLANK,4
37,01/01/2015,Westlake Ave & 6th Ave,35.0,BLANK,12
38,01/01/2016,12th Ave & E Denny Way,34.0,BLANK,1
39,01/01/2016,12th Ave & E Mercer St,34.0,BLANK,2
40,01/01/2016,1st Ave & Marion St,34.0,BLANK,5
41,01/01/2016,2nd Ave & Blanchard St,34.0,BLANK,8
42,01/01/2016,2nd Ave & Pine St,34.0,BLANK,5
43,01/01/2016,2nd Ave & Vine St,34.0,BLANK,4
44,01/01/2016,3rd Ave & Broad St,34.0,BLANK,7
45,01/01/2016,6th Ave & Blanchard St,34.0,BLANK,2
46,01/01/2016,Bellevue Ave & E Pine St,34.0,BLANK,2
47,01/01/2016,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,34.0,BLANK,1
48,01/01/2016,Cal Anderson Park / 11th Ave & Pine St,34.0,BLANK,8
49,01/01/2016,Children's Hospital / Sandpoint Way NE & 40th Ave NE,34.0,BLANK,1
50,01/01/2016,Dexter Ave & Denny Way,34.0,BLANK,2
51,01/01/2016,Dexter Ave N & Aloha St,34.0,BLANK,3
52,01/01/2016,E Blaine St & Fairview Ave E,34.0,BLANK,2
53,01/01/2016,E Harrison St & Broadway Ave E,34.0,BLANK,6
54,01/01/2016,E Pine St & 16th Ave,34.0,BLANK,4
55,01/01/2016,Eastlake Ave E & E Allison St,34.0,BLANK,5
56,01/01/2016,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,34.0,BLANK,3
57,01/01/2016,Frye Art Museum / Terry Ave & Columbia St,34.0,BLANK,2
58,01/01/2016,Harvard Ave & E Pine St,34.0,BLANK,3
59,01/01/2016,Key Arena / 1st Ave N & Harrison St,34.0,BLANK,3
60,01/01/2016,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,34.0,BLANK,2
61,01/01/2016,Lake Union Park / Valley St & Boren Ave N,34.0,BLANK,3
62,01/01/2016,NE 42nd St & University Way NE,34.0,BLANK,1
63,01/01/2016,NE 47th St & 12th Ave NE,34.0,BLANK,1
64,01/01/2016,Occidental Park / Occidental Ave S & S Washington St,34.0,BLANK,2
65,01/01/2016,PATH / 9th Ave & Westlake Ave,34.0,BLANK,6
66,01/01/2016,Pier 69 / Alaskan Way & Clay St,34.0,BLANK,2
67,01/01/2016,Pine St & 9th Ave,34.0,BLANK,3
68,01/01/2016,REI / Yale Ave N & John St,34.0,BLANK,5
69,01/01/2016,Republican St & Westlake Ave N,34.0,BLANK,3
70,01/01/2016,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,34.0,BLANK,2
71,01/01/2016,Seattle University / E Columbia St & 12th Ave,34.0,BLANK,2
72,01/01/2016,Summit Ave & E Denny Way,34.0,BLANK,3
73,01/01/2016,Summit Ave E & E Republican St,34.0,BLANK,3
74,01/01/2016,Terry Ave & Stewart St,34.0,BLANK,1
75,01/01/2016,UW Intramural Activities Building,34.0,BLANK,1
76,01/01/2016,Union St & 4th Ave,34.0,BLANK,1
77,01/01/2016,Westlake Ave & 6th Ave,34.0,BLANK,6
78,01/02/2015,12th Ave & E Denny Way,48.0,Rain,4
79,01/02/2015,12th Ave & E Mercer St,48.0,Rain,2
80,01/02/2015,15th Ave E & E Thomas St,48.0,Rain,4
81,01/02/2015,1st Ave & Marion St,48.0,Rain,4
82,01/02/2015,2nd Ave & Blanchard St,48.0,Rain,6
83,01/02/2015,2nd Ave & Pine St,48.0,Rain,18
84,01/02/2015,2nd Ave & Spring St,48.0,Rain,14
85,01/02/2015,2nd Ave & Vine St,48.0,Rain,10
86,01/02/2015,3rd Ave & Broad St,48.0,Rain,2
87,01/02/2015,6th Ave & Blanchard St,48.0,Rain,2
88,01/02/2015,7th Ave & Union St,48.0,Rain,10
89,01/02/2015,Bellevue Ave & E Pine St,48.0,Rain,14
90,01/02/2015,Burke Museum / E Stevens Way NE & Memorial Way NE,48.0,Rain,2
91,01/02/2015,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,48.0,Rain,2
92,01/02/2015,Cal Anderson Park / 11th Ave & Pine St,48.0,Rain,10
93,01/02/2015,Children's Hospital / Sandpoint Way NE & 40th Ave NE,48.0,Rain,2
94,01/02/2015,City Hall / 4th Ave & James St,48.0,Rain,4
